GOID	term	gene	geneSetSize
GO:2000678	NEGATIVE REGULATION OF TRANSCRIPTION REGULATORY REGION DNA BINDING	GRX3|GRX4	2
GO:2001125	NEGATIVE REGULATION OF TRANSLATIONAL FRAMESHIFTING	ASC1|OAZ1	2
GO:2000059	NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	ESS1|SCM3	2
GO:0071590	NICOTINAMIDE RIBOSIDE BIOSYNTHETIC PROCESS	ISN1|STD1	2
GO:0034258	NICOTINAMIDE RIBOSIDE TRANSPORT	FUN26|NRT1	2
GO:0071592	NICOTINIC ACID RIBOSIDE BIOSYNTHETIC PROCESS	ISN1|STD1	2
GO:0046210	NITRIC OXIDE CATABOLIC PROCESS	YHB1|YNL234W	2
GO:0090295	NITROGEN CATABOLITE REPRESSION OF TRANSCRIPTION	DAL80|GZF3	2
GO:0051168	NUCLEAR EXPORT	CRM1|MEX67|MSN5|RAD23	4
GO:0098863	NUCLEAR MIGRATION BY MICROTUBULE MEDIATED PUSHING FORCES	TUB1|TUB3	2
GO:0071040	NUCLEAR POLYADENYLATION-DEPENDENT ANTISENSE TRANSCRIPT CATABOLIC PROCESS	PAP2|RRP6	2
GO:0007000	NUCLEOLUS ORGANIZATION	NET1|TOF2	2
GO:0009134	NUCLEOSIDE DIPHOSPHATE CATABOLIC PROCESS	GDA1|YND1	2
GO:0006165	NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION	CDC8|YNK1	2
GO:0009142	NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS	ADK2|YNK1	2
GO:0009141	NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS	NPP1|NPP2	2
GO:0009165	NUCLEOTIDE BIOSYNTHETIC PROCESS	APA1|APA2|CDC21|CDC8|DCD1|PRS1|PRS2|PRS3|PRS4|PRS5	10
GO:0009166	NUCLEOTIDE CATABOLIC PROCESS	PHM8|SDT1|YHR202W	3
GO:1901255	NUCLEOTIDE-EXCISION REPAIR INVOLVED IN INTERSTRAND CROSS-LINK REPAIR	RAD1|RAD14	2
GO:0071562	NUCLEUS-VACUOLE JUNCTION ASSEMBLY	NVJ1|VAC8	2
GO:0090374	OLIGOPEPTIDE EXPORT FROM MITOCHONDRION	MDL1|MDL2	2
GO:0048284	ORGANELLE FUSION	PEP3|PEP5	2
GO:1901565	ORGANONITROGEN COMPOUND CATABOLIC PROCESS	HMF1|MMF1	2
GO:0015729	OXALOACETATE TRANSPORT	DIC1|OAC1	2
GO:0006518	PEPTIDE METABOLIC PROCESS	OCT1|PRD1	2
GO:0018364	PEPTIDYL-GLUTAMINE METHYLATION	MTQ2|TRM112	2
GO:0008612	PEPTIDYL-LYSINE MODIFICATION TO PEPTIDYL-HYPUSINE	DYS1|LIA1	2
GO:0036151	PHOSPHATIDYLCHOLINE ACYL-CHAIN REMODELING	PLB1	1
GO:0090640	PHOSPHATIDYLCHOLINE BIOSYNTHESIS FROM SN-GLYCERO-3-PHOSPHOCHOLINE	ALE1|GPC1	2
GO:0046337	PHOSPHATIDYLETHANOLAMINE METABOLIC PROCESS	DDL1|UPS2	2
GO:0036149	PHOSPHATIDYLINOSITOL ACYL-CHAIN REMODELING	CST26|YDR018C	2
GO:0006660	PHOSPHATIDYLSERINE CATABOLIC PROCESS	ATG15|PLB3	2
GO:0006658	PHOSPHATIDYLSERINE METABOLIC PROCESS	CDS1|PDR17	2
GO:1990536	PHOSPHOENOLPYRUVATE TRANSMEMBRANE IMPORT INTO GOLGI LUMEN	SLY41|YJL193W	2
GO:0046839	PHOSPHOLIPID DEPHOSPHORYLATION	LCB3|YSR3	2
GO:0046838	PHOSPHORYLATED CARBOHYDRATE DEPHOSPHORYLATION	GEP4|PHO13	2
GO:0046938	PHYTOCHELATIN BIOSYNTHETIC PROCESS	ATG42|PRC1	2
GO:0006596	POLYAMINE BIOSYNTHETIC PROCESS	SPE1|SPE2|SPE3|SPE4	4
GO:0006598	POLYAMINE CATABOLIC PROCESS	ALD2|ALD3	2
GO:0015846	POLYAMINE TRANSPORT	GAP1|TPO5	2
GO:0098507	POLYNUCLEOTIDE 5' DEPHOSPHORYLATION	CET1|CTL1	2
GO:0016094	POLYPRENOL BIOSYNTHETIC PROCESS	RER2|SRT1	2
GO:0032233	POSITIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY	LAS17|YFR016C	2
GO:0060196	POSITIVE REGULATION OF ANTISENSE RNA TRANSCRIPTION	ACE2|GCR2	2
GO:1905866	POSITIVE REGULATION OF ATG1/ULK1 KINASE COMPLEX ASSEMBLY	CCL1|KIN28	2
GO:1900189	POSITIVE REGULATION OF CELL ADHESION INVOLVED IN SINGLE-SPECIES BIOFILM FORMATION	FLO8|SNF2	2
GO:0032467	POSITIVE REGULATION OF CYTOKINESIS	CDC14|EDE1	2
GO:2000767	POSITIVE REGULATION OF CYTOPLASMIC TRANSLATION	GIS2|TUB4	2
GO:0043388	POSITIVE REGULATION OF DNA BINDING	PHO2|RMI1	2
GO:0051091	POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	RPT6|SOD1	2
GO:2001034	POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING	PPH3|PSY2	2
GO:1905779	POSITIVE REGULATION OF EXONUCLEASE ACTIVITY	POL30|SAE2	2
GO:0032000	POSITIVE REGULATION OF FATTY ACID BETA-OXIDATION	OAF1|PIP2	2
GO:0090372	POSITIVE REGULATION OF GLYCEROL TRANSPORT	ASK10|RGC1	2
GO:2001168	POSITIVE REGULATION OF HISTONE H2B UBIQUITINATION	CDC48	1
GO:0051571	POSITIVE REGULATION OF HISTONE H3-K4 METHYLATION	BUR2|SGV1	2
GO:1904828	POSITIVE REGULATION OF HYDROGEN SULFIDE BIOSYNTHETIC PROCESS	CYS3|SCH9	2
GO:1903896	POSITIVE REGULATION OF IRE1-MEDIATED UNFOLDED PROTEIN RESPONSE	KIN1|KIN2	2
GO:0033674	POSITIVE REGULATION OF KINASE ACTIVITY	GCN1|VAC14|VAC7	3
GO:0046889	POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS	NEM1|SEI1	2
GO:0060903	POSITIVE REGULATION OF MEIOSIS I	CDC7|DBF4	2
GO:0120151	POSITIVE REGULATION OF MITOTIC ACTOMYOSIN CONTRACTILE RING DISASSEMBLY	APC2|CDH1	2
GO:0045931	POSITIVE REGULATION OF MITOTIC CELL CYCLE	CDC28|IRC15|MIH1	3
GO:0048026	POSITIVE REGULATION OF MRNA SPLICING, VIA SPLICEOSOME	MER1|NAM8	2
GO:0010571	POSITIVE REGULATION OF NUCLEAR CELL CYCLE DNA REPLICATION	CDC28|DBF4	2
GO:0010922	POSITIVE REGULATION OF PHOSPHATASE ACTIVITY	KES1|OSH3	2
GO:0045937	POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS	PHO2|PHO4	2
GO:1903740	POSITIVE REGULATION OF PHOSPHATIDATE PHOSPHATASE ACTIVITY	NEM1|SPO7	2
GO:0035307	POSITIVE REGULATION OF PROTEIN DEPHOSPHORYLATION	ESS1|GLC7	2
GO:0070863	POSITIVE REGULATION OF PROTEIN EXIT FROM ENDOPLASMIC RETICULUM	SAR1|SEC16	2
GO:1905184	POSITIVE REGULATION OF PROTEIN SERINE/THREONINE PHOSPHATASE ACTIVITY	IGO1|IGO2	2
GO:1904184	POSITIVE REGULATION OF PYRUVATE DEHYDROGENASE ACTIVITY	PTC5|PTC6	2
GO:2001108	POSITIVE REGULATION OF RHO GUANYL-NUCLEOTIDE EXCHANGE FACTOR ACTIVITY	RSR1|TOR2	2
GO:1905216	POSITIVE REGULATION OF RNA BINDING	SNU13|YHC1	2
GO:0033120	POSITIVE REGULATION OF RNA SPLICING	FUN30|HUB1	2
GO:2000234	POSITIVE REGULATION OF RRNA PROCESSING	CCM1|RIO1	2
GO:0035543	POSITIVE REGULATION OF SNARE COMPLEX ASSEMBLY	SLY1|VPS45	2
GO:0090154	POSITIVE REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS	SWE1|TSC3	2
GO:0032212	POSITIVE REGULATION OF TELOMERE MAINTENANCE VIA TELOMERASE	HSP82|SBA1	2
GO:2000397	POSITIVE REGULATION OF UBIQUITIN-DEPENDENT ENDOCYTOSIS	ALY1|ALY2	2
GO:0007023	POST-CHAPERONIN TUBULIN FOLDING PATHWAY	ALF1|CIN1|CIN2|PAC2|RBL2	5
GO:0043687	POST-TRANSLATIONAL PROTEIN MODIFICATION	HUB1|STT3	2
GO:0031054	PRE-MIRNA PROCESSING	MRPL3|RNT1	2
GO:0031671	PRIMARY CELL SEPTUM BIOGENESIS	HOF1|MYO1	2
GO:0031053	PRIMARY MIRNA PROCESSING	MRPL3|RNT1	2
GO:0030422	PRODUCTION OF SIRNA INVOLVED IN RNA INTERFERENCE	MRPL3|RNT1	2
GO:0010133	PROLINE CATABOLIC PROCESS TO GLUTAMATE	PUT1|PUT2	2
GO:0006433	PROLYL-TRNA AMINOACYLATION	AIM10|YHR020W	2
GO:0019629	PROPIONATE CATABOLIC PROCESS, 2-METHYLCITRATE CYCLE	CIT3|ICL2	2
GO:0010498	PROTEASOMAL PROTEIN CATABOLIC PROCESS	MOT2|PRE1|PRE10|PRE2|PRE3|PRE4|PRE5|PRE6|PRE7|PRE8|PRE9|PUP1|PUP2|PUP3|RKR1|SCL1	16
GO:0080129	PROTEASOME CORE COMPLEX ASSEMBLY	PRE2|PRE9	2
GO:0031144	PROTEASOME LOCALIZATION	SRP1|STS1	2
GO:0031848	PROTECTION FROM NON-HOMOLOGOUS END JOINING AT TELOMERE	PSO2|RAP1	2
GO:0006473	PROTEIN ACETYLATION	HPA2|HPA3	2
GO:0036508	PROTEIN ALPHA-1,2-DEMANNOSYLATION	MNL1|PDI1	2
GO:0016540	PROTEIN AUTOPROCESSING	PSD1|PSD2|SSY5	3
GO:0080058	PROTEIN DEGLUTATHIONYLATION	TRX1|TRX2	2
GO:0006517	PROTEIN DEGLYCOSYLATION	PNG1|RAD23	2
GO:0006482	PROTEIN DEMETHYLATION	PPE1	1
GO:0016926	PROTEIN DESUMOYLATION	ULP1|ULP2	2
GO:0018343	PROTEIN FARNESYLATION	RAM1|RAM2	2
GO:0045046	PROTEIN IMPORT INTO PEROXISOME MEMBRANE	PEX19|PEX3	2
GO:0035551	PROTEIN INITIATOR METHIONINE REMOVAL INVOLVED IN PROTEIN MATURATION	MAP1|MAP2	2
GO:0051205	PROTEIN INSERTION INTO MEMBRANE	COX18|OXA1	2
GO:0071108	PROTEIN K48-LINKED DEUBIQUITINATION	YGL082W|YPL191C	2
GO:0072697	PROTEIN LOCALIZATION TO CELL CORTEX	ARC35|CDC24	2
GO:0098841	PROTEIN LOCALIZATION TO CELL DIVISION SITE AFTER CYTOKINESIS	AIM44|NAP1	2
GO:1903476	PROTEIN LOCALIZATION TO CELL DIVISION SITE INVOLVED IN MITOTIC ACTOMYOSIN CONTRACTILE RING ASSEMBLY	HOF1|MLC1	2
GO:0071168	PROTEIN LOCALIZATION TO CHROMATIN	SCC2|TFC3	2
GO:0034502	PROTEIN LOCALIZATION TO CHROMOSOME	TEL2|YKU80	2
GO:0097446	PROTEIN LOCALIZATION TO EISOSOME FILAMENT	PIL1|SUR7	2
GO:1990139	PROTEIN LOCALIZATION TO NUCLEAR PERIPHERY	CDC28|GCN4	2
GO:1902935	PROTEIN LOCALIZATION TO SEPTIN RING	ELM1|HSL1	2
GO:1990166	PROTEIN LOCALIZATION TO SITE OF DOUBLE-STRAND BREAK	HFM1|ZIP1	2
GO:0035268	PROTEIN MANNOSYLATION	MNN2|MNN5	2
GO:0006605	PROTEIN TARGETING	SRP101|SSS1|TOM20|YKL077W	4
GO:0001522	PSEUDOURIDINE SYNTHESIS	CBF5|DEG1|GAR1|NAF1|NOP10|PUS1|PUS2|PUS4|PUS5|PUS6|PUS7|PUS9|RIB2	13
GO:0009213	PYRIMIDINE DEOXYRIBONUCLEOSIDE TRIPHOSPHATE CATABOLIC PROCESS	DUT1|HAM1	2
GO:0019856	PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS	URA4|URA7|URA8	3
GO:0006206	PYRIMIDINE NUCLEOBASE METABOLIC PROCESS	PHM8|SDT1	2
GO:0046132	PYRIMIDINE RIBONUCLEOSIDE BIOSYNTHETIC PROCESS	URA10|URA5	2
GO:0001881	RECEPTOR RECYCLING	BOI1|BOI2	2
GO:0060917	REGULATION OF (1->6)-BETA-D-GLUCAN BIOSYNTHETIC PROCESS	PSK1|PSK2	2
GO:0030833	REGULATION OF ACTIN FILAMENT POLYMERIZATION	ABP1|ARC15|ARC18|ARC19|ARC35|ARC40|SRV2	7
GO:0045761	REGULATION OF ADENYLATE CYCLASE ACTIVITY	IRA1|SRV2	2
GO:0000821	REGULATION OF ARGININE METABOLIC PROCESS	ARG81|ARG82	2
GO:0043949	REGULATION OF CAMP-MEDIATED SIGNALING	BCY1|PDE1	2
GO:0090342	REGULATION OF CELL AGING	CGI121|FOB1	2
GO:0090334	REGULATION OF CELL WALL (1->3)-BETA-D-GLUCAN BIOSYNTHETIC PROCESS	LRG1|RHO1	2
GO:0080135	REGULATION OF CELLULAR RESPONSE TO STRESS	ASC1|COM2	2
GO:0051983	REGULATION OF CHROMOSOME SEGREGATION	IES6|INO80	2
GO:0090089	REGULATION OF DIPEPTIDE TRANSPORT	RAD6|UBR1	2
GO:1903775	REGULATION OF DNA DOUBLE-STRAND BREAK PROCESSING	RTT107|SLX4	2
GO:0097752	REGULATION OF DNA STABILITY	RIF1|SIR2	2
GO:0030100	REGULATION OF ENDOCYTOSIS	AKR1|SPS18	2
GO:2000114	REGULATION OF ESTABLISHMENT OF CELL POLARITY	RSR1|SFH5	2
GO:0060178	REGULATION OF EXOCYST LOCALIZATION	CDC42|RHO1	2
GO:0010570	REGULATION OF FILAMENTOUS GROWTH	CDC28|KSP1	2
GO:0010389	REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE	CDC28|KDX1	2
GO:0006111	REGULATION OF GLUCONEOGENESIS	SDH7|TSA1	2
GO:0010906	REGULATION OF GLUCOSE METABOLIC PROCESS	PKP1|PKP2	2
GO:0005981	REGULATION OF GLYCOGEN CATABOLIC PROCESS	PCL6|PCL7	2
GO:0006110	REGULATION OF GLYCOLYTIC PROCESS	PFK27|YLR345W	2
GO:2001166	REGULATION OF HISTONE H2B UBIQUITINATION	PAF1|RTF1	2
GO:0090083	REGULATION OF INCLUSION BODY ASSEMBLY	SED5|VPS13	2
GO:0032386	REGULATION OF INTRACELLULAR TRANSPORT	ALY1|ALY2	2
GO:2000217	REGULATION OF INVASIVE GROWTH IN RESPONSE TO GLUCOSE LIMITATION	SDS3|TUP1	2
GO:0043549	REGULATION OF KINASE ACTIVITY	CDC31|MOB1|TSA1|YPT1	4
GO:0071701	REGULATION OF MAPK EXPORT FROM NUCLEUS	GPA1|MSG5	2
GO:0042391	REGULATION OF MEMBRANE POTENTIAL	PMP3|TRK2	2
GO:0019222	REGULATION OF METABOLIC PROCESS	INO80|NCL1	2
GO:1901858	REGULATION OF MITOCHONDRIAL DNA METABOLIC PROCESS	MRX6|PIM1	2
GO:0010821	REGULATION OF MITOCHONDRION ORGANIZATION	GEM1|PCP1	2
GO:1903471	REGULATION OF MITOTIC ACTOMYOSIN CONTRACTILE RING CONTRACTION	HOF1|IQG1	2
GO:0060236	REGULATION OF MITOTIC SPINDLE ORGANIZATION	CIK1|KAR3	2
GO:0061013	REGULATION OF MRNA CATABOLIC PROCESS	DBF20|WHI3	2
GO:0010793	REGULATION OF MRNA EXPORT FROM NUCLEUS	MDM30|RSP5|SPN1	3
GO:0050684	REGULATION OF MRNA PROCESSING	SKY1|SPN1|SPT6	3
GO:1900063	REGULATION OF PEROXISOME ORGANIZATION	PEX30|PEX31	2
GO:0019220	REGULATION OF PHOSPHATE METABOLIC PROCESS	PHO92|RSP5	2
GO:2001163	REGULATION OF PHOSPHORYLATION OF RNA POLYMERASE II C-TERMINAL DOMAIN SERINE 2 RESIDUES	PAF1|RTF1	2
GO:2000214	REGULATION OF PROLINE METABOLIC PROCESS	FMP32|PUT7	2
GO:0061136	REGULATION OF PROTEASOMAL PROTEIN CATABOLIC PROCESS	BLM10|OAZ1	2
GO:0042176	REGULATION OF PROTEIN CATABOLIC PROCESS	MRK1|PIB1|RPN1|RPN2|RPN3	5
GO:1901901	REGULATION OF PROTEIN LOCALIZATION TO CELL DIVISION SITE INVOLVED IN CYTOKINESIS	DBF2|GLC7|REF2	3
GO:1905634	REGULATION OF PROTEIN LOCALIZATION TO CHROMATIN	CDC28|SGF73	2
GO:1902542	REGULATION OF PROTEIN LOCALIZATION TO MITOTIC SPINDLE POLE BODY	CDC5|TEM1	2
GO:0010155	REGULATION OF PROTON TRANSPORT	RCF1|RCF2	2
GO:0047484	REGULATION OF RESPONSE TO OSMOTIC STRESS	SCH9|UBP3	2
GO:2000200	REGULATION OF RIBOSOMAL SUBUNIT EXPORT FROM NUCLEUS	NOG2|REA1	2
GO:0051252	REGULATION OF RNA METABOLIC PROCESS	HEK2|PBP2	2
GO:0045898	REGULATION OF RNA POLYMERASE II TRANSCRIPTION PREINITIATION COMPLEX ASSEMBLY	MOT1|NCB2	2
GO:1905356	REGULATION OF SNRNA PSEUDOURIDINE SYNTHESIS	TOR1|TOR2	2
GO:0032006	REGULATION OF TOR SIGNALING	INO80|TTI1	2
GO:0034243	REGULATION OF TRANSCRIPTION ELONGATION FROM RNA POLYMERASE II PROMOTER	SPN1|SPT4	2
GO:0000117	REGULATION OF TRANSCRIPTION INVOLVED IN G2/M TRANSITION OF MITOTIC CELL CYCLE	RPD3|SIN3	2
GO:0043555	REGULATION OF TRANSLATION IN RESPONSE TO STRESS	HSF1|KSP1	2
GO:2000238	REGULATION OF TRNA EXPORT FROM NUCLEUS	RSP5	1
GO:0010795	REGULATION OF UBIQUINONE BIOSYNTHETIC PROCESS	PUF3|RSP5	2
GO:0045069	REGULATION OF VIRAL GENOME REPLICATION	ADH1|PDC1	2
GO:0097046	REPLICATION FORK PROGRESSION BEYOND TERMINATION SITE	RRM3|TOP2	2
GO:0071139	RESOLUTION OF RECOMBINATION INTERMEDIATES	SMC5|SMC6	2
GO:0007584	RESPONSE TO NUTRIENT	BCK1|BRO1	2
GO:0019236	RESPONSE TO PHEROMONE	AGA1|BAR1|BEM4|CDC42|CLA4|FIG2|GPA1|PLP1|PLP2|PRR1|PRR2|RCE1|RGA1|SRM1|SST2|STE11|STE12|STE13|STE14|STE18|STE2|STE20|STE23|STE24|STE3|STE4|STE5|STE50|STE6|STE7|YPP1	31
GO:0022618	RIBONUCLEOPROTEIN COMPLEX ASSEMBLY	RPL38|THO1	2
GO:0034337	RNA FOLDING	CUS2|MSS116	2
GO:0006404	RNA IMPORT INTO NUCLEUS	MTR10|RNA1	2
GO:0043631	RNA POLYADENYLATION	FIR1|PAP1|SPT2	3
GO:0001188	RNA POLYMERASE I PREINITIATION COMPLEX ASSEMBLY	RPA49|RRN11|RRN6|RRN7|SPT15	5
GO:1990115	RNA POLYMERASE III ASSEMBLY	BUD27|RBS1	2
GO:0070476	RRNA (GUANINE-N7)-METHYLATION	BUD23|TRM112	2
GO:0016072	RRNA METABOLIC PROCESS	CCM1|KRE33|URB2	3
GO:0015805	S-ADENOSYL-L-METHIONINE TRANSPORT	PET8|SAM3	2
GO:0072742	SAGA COMPLEX LOCALIZATION TO TRANSCRIPTION REGULATORY REGION	SEM1|SGF29	2
GO:0031107	SEPTIN RING DISASSEMBLY	CDC3|RTS1	2
GO:0042989	SEQUESTERING OF ACTIN MONOMERS	PFY1|TWF1	2
GO:0098718	SERINE IMPORT ACROSS PLASMA MEMBRANE	AGP1|GNP1	2
GO:0006434	SERYL-TRNA AMINOACYLATION	DIA4|SES1	2
GO:0046459	SHORT-CHAIN FATTY ACID METABOLIC PROCESS	HST3|HST4	2
GO:0042770	SIGNAL TRANSDUCTION IN RESPONSE TO DNA DAMAGE	DUN1|RCK1	2
GO:0000012	SINGLE STRAND BREAK REPAIR	HNT3|TDP1	2
GO:0019354	SIROHEME BIOSYNTHETIC PROCESS	MET1|MET8	2
GO:0034462	SMALL-SUBUNIT PROCESSOME ASSEMBLY	ESF2|MRD1	2
GO:0016074	SNORNA METABOLIC PROCESS	BCD1|DBR1	2
GO:0034472	SNRNA 3'-END PROCESSING	NAB3|NRD1	2
GO:0061015	SNRNA IMPORT INTO NUCLEUS	CSE1|MTR10	2
GO:0035725	SODIUM ION TRANSMEMBRANE TRANSPORT	ENA1|ENA2|ENA5|NHA1|NHX1|PHO89|VNX1|YVC1	8
GO:0008295	SPERMIDINE BIOSYNTHETIC PROCESS	SPE2|SPE3	2
GO:0006597	SPERMINE BIOSYNTHETIC PROCESS	SPE2|SPE4	2
GO:0030149	SPHINGOLIPID CATABOLIC PROCESS	DPL1|ISC1	2
GO:0070631	SPINDLE POLE BODY LOCALIZATION	NBP1|NDC1	2
GO:0006104	SUCCINYL-COA METABOLIC PROCESS	LSC1|LSC2	2
GO:0000316	SULFITE TRANSPORT	SOA1|SSU1	2
GO:0006801	SUPEROXIDE METABOLIC PROCESS	BEM1|CCS1|MRP1|RSM26|SOD1|SOD2	6
GO:0046654	TETRAHYDROFOLATE BIOSYNTHETIC PROCESS	ABZ1|ABZ2|DFR1|FOL1|FOL2	5
GO:0046653	TETRAHYDROFOLATE METABOLIC PROCESS	SHM1|SHM2	2
GO:0030974	THIAMINE PYROPHOSPHATE TRANSMEMBRANE TRANSPORT	TPC1|UGO1	2
GO:0006435	THREONYL-TRNA AMINOACYLATION	MST1|THS1	2
GO:0006361	TRANSCRIPTION INITIATION FROM RNA POLYMERASE I PROMOTER	RRN11|RRN3|RRN5|RRN6	4
GO:0045056	TRANSCYTOSIS	GTA1|USO1	2
GO:0015771	TREHALOSE TRANSPORT	MAL11	1
GO:0006642	TRIGLYCERIDE MOBILIZATION	TGL4|TGL5	2
GO:0042939	TRIPEPTIDE TRANSPORT	DAL5|PTR2	2
GO:0106004	TRNA (GUANINE-N7)-METHYLATION	TRM8|TRM82	2
GO:0001682	TRNA 5'-LEADER REMOVAL	POP1|PSP2|RPM2	3
GO:0006418	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION	AIM10|ARC1|CDC60|DED81|DIA4|DPS1|GLN4|GRS2|GUS1|ILS1|ISM1|KRS1|MES1|MSD1|MSK1|MSM1|MSR1|MST1|MSW1|MSY1|NAM2|SES1|SLM5|THS1|TYS1|VAS1|WRS1|YDR341C|YHR020W|YNL247W	30
GO:0002926	TRNA WOBBLE BASE 5-METHOXYCARBONYLMETHYL-2-THIOURIDINYLATION	ELP3|IKI3	2
GO:0019441	TRYPTOPHAN CATABOLIC PROCESS TO KYNURENINE	BNA2|BNA5|BNA7	3
GO:0015827	TRYPTOPHAN TRANSPORT	TAT1|TAT2	2
GO:0006436	TRYPTOPHANYL-TRNA AMINOACYLATION	MSW1|WRS1	2
GO:0015840	UREA TRANSPORT	DUR3|NPR2	2
GO:0006228	UTP BIOSYNTHETIC PROCESS	CPA2|URA2|YNK1	3
GO:1990854	VACUOLE-ER TETHERING	MDM1|NVJ3	2
GO:0006574	VALINE CATABOLIC PROCESS	EHD3|LPD1	2
GO:0042760	VERY LONG-CHAIN FATTY ACID CATABOLIC PROCESS	PXA1|PXA2	2
GO:0051469	VESICLE FUSION WITH VACUOLE	VAM3|VPS33	2
GO:0051180	VITAMIN TRANSPORT	BIO5|TPN1	2
GO:0006833	WATER TRANSPORT	AQY1|AQY2|YLL053C	3
GO:0032265	XMP SALVAGE	HPT1|XPT1	2
GO:1902341	XYLITOL TRANSPORT	HXT11|HXT15	2
GO:0071578	ZINC ION IMPORT ACROSS PLASMA MEMBRANE	ZRT1|ZRT2	2
GO:0031638	ZYMOGEN ACTIVATION	ATG42|PRC1	2
GO:1903088	5-AMINO-1-RIBOFURANOSYLIMIDAZOLE-4-CARBOXAMIDE TRANSMEMBRANE TRANSPORT	NRT1|THI7|THI72	3
GO:0031532	ACTIN CYTOSKELETON REORGANIZATION	RGD1|RHO1|RVS161	3
GO:0051014	ACTIN FILAMENT SEVERING	COF1|SRV2|TWF1	3
GO:0000915	ACTOMYOSIN CONTRACTILE RING ASSEMBLY	CDC11|SHS1|SPR28	3
GO:0015866	ADP TRANSPORT	ANT1|PET9|SAL1	3
GO:0098656	ANION TRANSMEMBRANE TRANSPORT	BOR1|KHA1|NHX1|PHO87|PHO90|PHO91|POR1|POR2|SUL1|SUL2|VCX1|VNX1|YPR003C	13
GO:0071041	ANTISENSE RNA TRANSCRIPT CATABOLIC PROCESS	JHD2|NAB3|NRD1	3
GO:0009074	AROMATIC AMINO ACID FAMILY CATABOLIC PROCESS	ARO8|ARO80|ARO9	3
GO:0030953	ASTRAL MICROTUBULE ORGANIZATION	BUD6|NUD1|SPC72	3
GO:0097352	AUTOPHAGOSOME MATURATION	CCZ1|CDC48|VAM3	3
GO:0061909	AUTOPHAGOSOME-LYSOSOME FUSION	STT4|VAM7	2
GO:0034488	BASIC AMINO ACID TRANSMEMBRANE EXPORT FROM VACUOLE	RTC2|YPQ1|YPQ2	3
GO:0035445	BORATE TRANSMEMBRANE TRANSPORT	AMF1|ATR1|BOR1|YMR279C	4
GO:0000494	BOX C/D SNORNA 3'-END PROCESSING	NOP1|PXR1|YMR265C	3
GO:0015691	CADMIUM ION TRANSPORT	BPT1|PCA1|SMF1	3
GO:0015976	CARBON UTILIZATION	NCE103|PKP1|PKP2|SDH7	4
GO:0009437	CARNITINE METABOLIC PROCESS	CAT2|YAT1|YAT2	3
GO:0007155	CELL ADHESION	AGA1|AGA2|FIG2|GAL83|HSP12|SAG1|SNF1	7
GO:0030154	CELL DIFFERENTIATION	NAP1|PHO2|VPS75|YHP1|YOX1	5
GO:0030031	CELL PROJECTION ASSEMBLY	CDC42|RHO5|STE2	3
GO:0006037	CELL WALL CHITIN METABOLIC PROCESS	CRH1|CRR1|UTR2	3
GO:0071474	CELLULAR HYPEROSMOTIC RESPONSE	PBS2|SSK2|VPH1	3
GO:0010961	CELLULAR MAGNESIUM ION HOMEOSTASIS	ALR1|ALR2|MNR2	3
GO:0030004	CELLULAR MONOVALENT INORGANIC CATION HOMEOSTASIS	NHA1|NHX1|VHS3	3
GO:0043624	CELLULAR PROTEIN COMPLEX DISASSEMBLY	AMN1|CDC48|DIA2	3
GO:0071454	CELLULAR RESPONSE TO ANOXIA	FRD1|RIM101|SNF7	3
GO:0071465	CELLULAR RESPONSE TO DESICCATION	ATH1|NTH1|STF2|TPS1	4
GO:0010106	CELLULAR RESPONSE TO IRON ION STARVATION	FET3|FET5|GMC1	3
GO:0071400	CELLULAR RESPONSE TO OLEIC ACID	CST6|RTG1|RTG3	3
GO:0042631	CELLULAR RESPONSE TO WATER DEPRIVATION	ROQ1|SIP18|YNL190W	3
GO:0006883	CELLULAR SODIUM ION HOMEOSTASIS	COS3|PPZ1|PPZ2	3
GO:0098653	CENTROMERE CLUSTERING	SLK19|SPC24|SPC25	3
GO:0006031	CHITIN BIOSYNTHETIC PROCESS	BNI4|CHS1|CHS2|SHC1	4
GO:0031055	CHROMATIN REMODELING AT CENTROMERE	SFH1|STH1|TOP2	3
GO:0030261	CHROMOSOME CONDENSATION	BRN1|HHO1|HMO1|SMC2|SMC4|ULP2|YCG1|YCS4	8
GO:0070192	CHROMOSOME ORGANIZATION INVOLVED IN MEIOTIC CELL CYCLE	DMC1|RAD50|RAD51	3
GO:0019240	CITRULLINE BIOSYNTHETIC PROCESS	ARG3|CPA2|URA2	3
